row_type,dataset,repeat,fold,auc,f1_macro
fold,wine1,1,1,1.0,1.0
fold,wine1,1,2,1.0,0.9693617021276596
fold,wine1,1,3,1.0,1.0
fold,wine1,1,4,1.0,0.967622571692877
fold,wine1,1,5,1.0,1.0
fold,wine1,2,1,1.0,0.9680567879325643
fold,wine1,2,2,1.0,0.9693617021276596
fold,wine1,2,3,1.0,1.0
fold,wine1,2,4,1.0,1.0
fold,wine1,2,5,1.0,1.0
fold,wine1,3,1,0.9965277777777778,0.9693617021276596
fold,wine1,3,2,1.0,1.0
fold,wine1,3,3,1.0,1.0
fold,wine1,3,4,1.0,1.0
fold,wine1,3,5,1.0,1.0
fold,wine1,4,1,1.0,1.0
fold,wine1,4,2,1.0,1.0
fold,wine1,4,3,1.0,1.0
fold,wine1,4,4,1.0,1.0
fold,wine1,4,5,1.0,0.967622571692877
fold,wine1,5,1,1.0,1.0
fold,wine1,5,2,0.9965277777777778,0.9693617021276596
fold,wine1,5,3,1.0,1.0
fold,wine1,5,4,1.0,1.0
fold,wine1,5,5,1.0,1.0
fold,wine1,6,1,1.0,1.0
fold,wine1,6,2,1.0,1.0
fold,wine1,6,3,1.0,1.0
fold,wine1,6,4,1.0,1.0
fold,wine1,6,5,1.0,0.967622571692877
fold,wine1,7,1,1.0,1.0
fold,wine1,7,2,1.0,0.939799331103679
fold,wine1,7,3,1.0,1.0
fold,wine1,7,4,1.0,1.0
fold,wine1,7,5,1.0,1.0
fold,wine1,8,1,1.0,1.0
fold,wine1,8,2,1.0,1.0
fold,wine1,8,3,1.0,1.0
fold,wine1,8,4,1.0,0.9688888888888889
fold,wine1,8,5,1.0,1.0
fold,wine1,9,1,1.0,1.0
fold,wine1,9,2,1.0,0.9693617021276596
fold,wine1,9,3,1.0,0.9693617021276596
fold,wine1,9,4,1.0,1.0
fold,wine1,9,5,1.0,0.9659863945578231
fold,wine1,10,1,1.0,1.0
fold,wine1,10,2,1.0,0.9693617021276596
fold,wine1,10,3,1.0,1.0
fold,wine1,10,4,1.0,1.0
fold,wine1,10,5,1.0,1.0
final_mean,wine1,,,0.9998611111111111,0.9906226206491041
